id,slug,name,set,num,rarity,cond,lang,artist,nuovo,vetrina,entrata,ordine,image
1,fulmine-solare-eco-035,Fulmine Solare,eco,035/165,holo,excellent,Italiano,R. Colella,true,4,15 luglio,635,
2,ariete-di-quarzo-mar-122,Ariete di Quarzo,mar,122/172,holo,mint,Inglese,L. Bonetti,true,4,22 febbraio,513,
3,anguilla-di-brace-rad-089,Anguilla di Brace,rad,089/154,ultra,played,Italiano,L. Bonetti,true,4,9 febbraio,297,
4,falco-di-bruma-for-057,Falco di Bruma,for,057/102,holo,played,Italiano,S. Adani,true,3,14 maggio,192,
5,cavalletta-di-bosco-mar-060,Cavalletta di Bosco,mar,060/172,rare,played,Italiano,M. Ferretti,true,2,8 aprile,423,
6,lupo-di-ferro-rad-036,Lupo di Ferro,rad,036/154,ultra,excellent,Giapponese,G. Prandi,true,3,14 giugno,688,
7,anguilla-di-vetro-cie-048,Anguilla di Vetro,cie,048/189,rare,near-mint,Italiano,L. Bonetti,true,4,24 febbraio,819,
8,guardiano-di-pioggia-alb-016,Guardiano di Pioggia,alb,016/198,secret,near-mint,Inglese,M. Ferretti,true,2,17 febbraio,921,
9,cavalletta-cremisi-for-093,Cavalletta Cremisi,for,093/102,holo,near-mint,Italiano,S. Adani,true,1,1 luglio,231,
10,granchio-di-sale-cie-045,Granchio di Sale,cie,045/189,ultra,near-mint,Italiano,ignoto,false,1,14 gennaio,912,
11,tasso-solare-alb-179,Tasso Solare,alb,179/198,common,played,Italiano,R. Colella,false,2,7 marzo,564,
12,guardiano-d-argento-cie-135,Guardiano d'Argento,cie,135/189,uncommon,mint,Italiano,ignoto,false,1,19 ottobre,37,
13,istrice-di-lampo-cie-080,Istrice di Lampo,cie,080/189,common,good,Giapponese,L. Bonetti,false,1,11 ottobre,558,
14,lupo-di-nebbia-cie-064,Lupo di Nebbia,cie,064/189,holo,excellent,Italiano,S. Adani,false,4,27 luglio,872,
15,cavalletta-di-marea-rad-021,Cavalletta di Marea,rad,021/154,uncommon,excellent,Inglese,ignoto,false,2,6 maggio,166,
16,corvo-di-ferro-rad-079,Corvo di Ferro,rad,079/154,holo,near-mint,Inglese,M. Ferretti,false,2,15 marzo,722,
17,coleottero-di-quarzo-rad-067,Coleottero di Quarzo,rad,067/154,common,good,Inglese,ignoto,false,4,19 novembre,25,
18,pipistrello-di-nebbia-cie-170,Pipistrello di Nebbia,cie,170/189,common,near-mint,Italiano,M. Ferretti,false,1,1 luglio,945,
19,riccio-di-cenere-eco-112,Riccio di Cenere,eco,112/165,common,excellent,Giapponese,L. Bonetti,false,3,21 aprile,416,
20,guardiano-di-quarzo-cie-185,Guardiano di Quarzo,cie,185/189,common,played,Italiano,M. Ferretti,false,1,17 febbraio,78,
